id,paper_id,primers,longitude,latitude,continent,sample_type,marker_size,Biome,MAT,MAP,pH,year_of_sampling,plants_dominant,target_gene,sequencing_platform,abundances,fungus_species
884,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-5.86022,6.13511,Africa,soil,616023,cropland,25.2,1309,7.3,2012.0,Theobroma cacao,SSU,Illumina,52,Scutellospora sp.
887,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.71673,4.76278,Africa,soil,495310,cropland,26.0,1459,5.6,2012.0,Theobroma cacao,SSU,Illumina,28,Scutellospora sp.
888,Vasar_2021_1HW,WANDA/AML2,-48.8525,-15.81,South America,soil,146654,grassland,21.0,1926,3.36,2016.0,,SSU,Illumina,180,Scutellospora sp.
889,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-5.85256,6.13115,Africa,soil,644559,cropland,25.2,1336,7.6,2012.0,Theobroma cacao,SSU,Illumina,3,Scutellospora sp.
890,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.6529,5.59485,Africa,soil,502723,cropland,25.3,1337,7.6,2012.0,Theobroma cacao,SSU,Illumina,427,Scutellospora sp.
891,Vasar_2021_1HW,WANDA/AML2,-63.9519,-32.6047,South America,soil,131065,shrubland,17.3,895,,2013.0,,SSU,Illumina,719,Scutellospora sp.
895,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-5.84711,6.15508,Africa,soil,558408,cropland,25.3,1290,7.3,2012.0,Theobroma cacao,SSU,Illumina,40,Scutellospora sp.
897,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.50217,6.13064,Africa,soil,461329,cropland,25.3,1428,,2012.0,Theobroma cacao,SSU,Illumina,26,Scutellospora sp.
899,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.53433,5.85037,Africa,soil,354290,cropland,25.4,1396,5.7,2012.0,Theobroma cacao,SSU,Illumina,28,Scutellospora sp.
904,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.50211,6.13011,Africa,soil,386513,cropland,25.3,1428,6.8,2012.0,Theobroma cacao,SSU,Illumina,70,Scutellospora sp.
905,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-5.85277,6.13102,Africa,soil,534738,cropland,25.2,1336,7.2,2012.0,Theobroma cacao,SSU,Illumina,1,Scutellospora sp.
906,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.71296,4.76228,Africa,soil,437725,cropland,26.0,1459,5.6,2012.0,Theobroma cacao,SSU,Illumina,47,Scutellospora sp.
911,Rincon_2021_1GU,AML1/AML2 then NS31/AM1,-6.53049,5.01482,Africa,soil,450746,cropland,25.8,1400,5.5,2012.0,Theobroma cacao,SSU,Illumina,2,Scutellospora sp.
